2.5,6.0,3.3,6.3|0,0,1
1.9,5.1,2.7,5.8|0,0,1
2.1,5.9,3.0,7.1|0,0,1
1.8,5.6,2.9,6.3|0,0,1
2.2,5.8,3.0,6.5|0,0,1
2.1,6.6,3.0,7.6|0,0,1
1.7,4.5,2.5,4.9|0,0,1
1.8,6.3,2.9,7.3|0,0,1
1.8,5.8,2.5,6.7|0,0,1
2.5,6.1,3.6,7.2|0,0,1
2.0,5.1,3.2,6.5|0,0,1
1.9,5.3,2.7,6.4|0,0,1
2.1,5.5,3.0,6.8|0,0,1
2.0,5.0,2.5,5.7|0,0,1
2.4,5.1,2.8,5.8|0,0,1
2.3,5.3,3.2,6.4|0,0,1
1.8,5.5,3.0,6.5|0,0,1
2.2,6.7,3.8,7.7|0,0,1
2.3,6.9,2.6,7.7|0,0,1
1.5,5.0,2.2,6.0|0,0,1
2.3,5.7,3.2,6.9|0,0,1
2.0,4.9,2.8,5.6|0,0,1
2.0,6.7,2.8,7.7|0,0,1
1.8,4.9,2.7,6.3|0,0,1
2.1,5.7,3.3,6.7|0,0,1
1.8,6.0,3.2,7.2|0,0,1
1.8,4.8,2.8,6.2|0,0,1
1.8,4.9,3.0,6.1|0,0,1
2.1,5.6,2.8,6.4|0,0,1
1.6,5.8,3.0,7.2|0,0,1
1.9,6.1,2.8,7.4|0,0,1
2.0,6.4,3.8,7.9|0,0,1
2.2,5.6,2.8,6.4|0,0,1
1.5,5.1,2.8,6.3|0,0,1
1.4,5.6,2.6,6.1|0,0,1
2.3,6.1,3.0,7.7|0,0,1
2.4,5.6,3.4,6.3|0,0,1
1.8,5.5,3.1,6.4|0,0,1
1.8,4.8,3.0,6.0|0,0,1
2.1,5.4,3.1,6.9|0,0,1
