0.2,1.4,3.5,5.1|1,0,0
0.2,1.4,3.0,4.9|1,0,0
0.2,1.3,3.2,4.7|1,0,0
0.2,1.5,3.1,4.6|1,0,0
0.2,1.4,3.6,5.0|1,0,0
0.4,1.7,3.9,5.4|1,0,0
0.3,1.4,3.4,4.6|1,0,0
0.2,1.5,3.4,5.0|1,0,0
0.2,1.4,2.9,4.4|1,0,0
0.1,1.5,3.1,4.9|1,0,0
0.2,1.5,3.7,5.4|1,0,0
0.2,1.6,3.4,4.8|1,0,0
0.1,1.4,3.0,4.8|1,0,0
0.1,1.1,3.0,4.3|1,0,0
0.2,1.2,4.0,5.8|1,0,0
0.4,1.5,4.4,5.7|1,0,0
0.4,1.3,3.9,5.4|1,0,0
0.3,1.4,3.5,5.1|1,0,0
0.3,1.7,3.8,5.7|1,0,0
0.3,1.5,3.8,5.1|1,0,0
0.2,1.7,3.4,5.4|1,0,0
0.4,1.5,3.7,5.1|1,0,0
0.2,1.0,3.6,4.6|1,0,0
0.5,1.7,3.3,5.1|1,0,0
0.2,1.9,3.4,4.8|1,0,0
0.2,1.6,3.0,5.0|1,0,0
0.4,1.6,3.4,5.0|1,0,0
0.2,1.5,3.5,5.2|1,0,0
0.2,1.4,3.4,5.2|1,0,0
0.2,1.6,3.2,4.7|1,0,0
0.2,1.6,3.1,4.8|1,0,0
0.4,1.5,3.4,5.4|1,0,0
0.1,1.5,4.1,5.2|1,0,0
0.2,1.4,4.2,5.5|1,0,0
0.2,1.5,3.1,4.9|1,0,0
0.2,1.2,3.2,5.0|1,0,0
0.2,1.3,3.5,5.5|1,0,0
0.1,1.4,3.6,4.9|1,0,0
0.2,1.3,3.0,4.4|1,0,0
0.2,1.5,3.4,5.1|1,0,0
