1.4,4.7,3.2,7.0|0,1,0
1.5,4.5,3.2,6.4|0,1,0
1.5,4.9,3.1,6.9|0,1,0
1.3,4.0,2.3,5.5|0,1,0
1.5,4.6,2.8,6.5|0,1,0
1.3,4.5,2.8,5.7|0,1,0
1.6,4.7,3.3,6.3|0,1,0
1.0,3.3,2.4,4.9|0,1,0
1.3,4.6,2.9,6.6|0,1,0
1.4,3.9,2.7,5.2|0,1,0
1.0,3.5,2.0,5.0|0,1,0
1.5,4.2,3.0,5.9|0,1,0
1.0,4.0,2.2,6.0|0,1,0
1.4,4.7,2.9,6.1|0,1,0
1.3,3.6,2.9,5.6|0,1,0
1.4,4.4,3.1,6.7|0,1,0
1.5,4.5,3.0,5.6|0,1,0
1.0,4.1,2.7,5.8|0,1,0
1.5,4.5,2.2,6.2|0,1,0
1.1,3.9,2.5,5.6|0,1,0
1.8,4.8,3.2,5.9|0,1,0
1.3,4.0,2.8,6.1|0,1,0
1.5,4.9,2.5,6.3|0,1,0
1.2,4.7,2.8,6.1|0,1,0
1.3,4.3,2.9,6.4|0,1,0
1.4,4.4,3.0,6.6|0,1,0
1.4,4.8,2.8,6.8|0,1,0
1.7,5.0,3.0,6.7|0,1,0
1.5,4.5,2.9,6.0|0,1,0
1.0,3.5,2.6,5.7|0,1,0
1.1,3.8,2.4,5.5|0,1,0
1.0,3.7,2.4,5.5|0,1,0
1.2,3.9,2.7,5.8|0,1,0
1.6,5.1,2.7,6.0|0,1,0
1.5,4.5,3.0,5.4|0,1,0
1.6,4.5,3.4,6.0|0,1,0
1.5,4.7,3.1,6.7|0,1,0
1.3,4.4,2.3,6.3|0,1,0
1.3,4.1,3.0,5.6|0,1,0
1.3,4.0,2.5,5.5|0,1,0
